编码 预测值 真实值
0 2 2
1 9 9
2 5 5
3 9 9
4 6 6
5 9 9
6 8 8
7 9 9
8 8 8
9 8 8
10 9 9
11 6 6
12 9 9
13 4 4
14 9 9
15 8 8
16 9 9
17 8 8
18 7 7
19 8 8
20 8 8
21 3 3
22 9 9
23 6 6
24 8 8
25 1 1
26 9 9
27 2 1
28 9 9
29 7 9
30 9 9
31 5 5
32 8 8
33 1 1
34 8 8
35 9 9
36 8 8
37 8 8
38 4 4
39 6 6
40 9 9
41 9 9
42 8 8
43 9 9
44 9 9
45 9 5
46 1 9
47 9 9
48 8 9
49 9 9
50 5 5
51 8 8
52 9 9
53 9 9
54 9 9
55 8 8
56 9 9
57 5 5
58 6 6
59 5 5
60 8 8
61 9 9
62 5 5
63 4 4
64 3 1
65 8 8
66 9 9
67 8 8
68 9 9
69 5 5
70 9 9
71 8 8
72 8 8
73 7 7
74 2 3
75 6 7
76 5 5
77 8 8
78 2 1
79 9 9
80 5 5
81 4 4
82 2 2
83 8 8
84 8 8
85 9 9
86 7 7
87 5 5
88 7 7
89 7 7
90 9 9
91 7 7
92 8 8
93 9 9
94 9 9
95 5 5
96 8 8
97 6 6
98 6 6
99 4 4
100 9 9
101 8 8
102 5 5
103 3 3
104 5 5
105 9 9
106 4 4
107 1 2
108 9 9
109 9 9
110 9 9
111 6 6
112 5 5
113 5 5
114 9 9
115 9 9
116 9 2
117 9 9
118 9 9
119 9 9
120 6 6
121 9 9
122 8 8
123 9 9
124 9 9
125 7 7
126 2 3
127 9 9
128 1 1
129 8 8
130 8 8
131 2 2
132 9 9
133 9 9
134 5 5
135 2 2
136 2 2
137 7 7
138 9 9
139 6 6
140 8 8
141 9 9
142 8 8
143 8 8
144 9 9
145 8 8
146 9 9
147 9 9
148 7 7
149 7 9
150 7 7
151 9 9
152 9 9
153 1 2
154 9 9
155 9 9
156 9 9
157 9 9
158 9 9
159 5 5
160 9 9
161 9 8
162 8 8
163 9 9
164 8 9
165 9 9
166 8 8
167 9 9
168 1 1
169 9 9
170 8 8
171 5 5
172 8 8
173 8 8
174 7 7
175 9 9
176 9 9
177 3 3
178 9 9
179 8 8
180 9 9
181 9 9
182 8 8
183 9 9
184 9 9
185 5 5
186 9 9
187 9 9
188 9 9
189 8 8
190 9 9
191 9 9
192 8 8
193 6 6
194 1 1
195 8 8
196 8 8
197 8 8
198 7 7
199 5 3
200 1 1
201 7 7
202 5 5
203 9 9
204 9 9
205 9 9
206 5 5
207 8 8
208 9 9
209 4 4
210 9 9
211 9 9
212 1 2
213 3 3
214 9 9
215 7 7
216 9 9
217 5 5
218 9 9
219 9 9
220 5 5
221 5 5
222 9 9
223 8 8
224 7 7
225 5 5
226 2 1
227 8 8
228 7 7
229 4 4
230 5 5
231 9 9
232 9 9
233 5 5
234 4 4
235 9 9
236 8 8
237 6 6
238 8 8
239 3 3
240 9 7
241 8 8
242 5 5
243 1 1
244 1 1
245 7 7
246 7 7
247 9 9
248 6 6
249 7 7
250 7 7
251 8 8
252 5 5
253 8 8
254 5 5
255 9 9
256 6 6
257 5 5
258 9 9
259 8 8
260 4 4
261 7 7
262 9 9
263 5 5
264 3 3
265 8 8
266 9 9
267 9 9
268 7 7
269 9 9
270 7 7
271 5 5
272 5 5
273 9 9
274 9 9
275 8 8
276 5 5
277 8 8
278 8 8
279 9 9
280 9 9
281 2 2
282 8 8
283 8 8
284 7 7
285 9 9
286 4 4
287 9 9
288 9 9
289 5 5
290 8 8
291 5 5
292 8 8
293 9 9
294 9 9
295 9 9
296 8 8
297 9 9
298 5 5
299 1 1
300 4 4
301 7 7
302 2 2
303 5 5
304 1 2
305 9 9
306 5 5
307 9 9
308 9 9
309 9 9
310 8 8
311 8 8
312 3 3
313 8 8
314 9 9
315 7 7
316 7 7
317 9 9
318 1 2
319 5 5
320 8 8
321 8 9
322 9 9
323 5 5
324 8 8
325 9 9
326 5 5
327 9 9
328 3 3
329 6 6
330 7 7
331 8 8
332 9 9
333 9 9
334 9 9
335 9 9
336 9 9
337 8 8
338 1 1
339 9 9
340 2 1
341 9 9
342 4 4
343 3 3
344 4 4
345 8 8
346 8 9
347 8 8
348 2 2
349 9 9
350 8 8
351 5 5
352 9 9
353 9 9
354 5 5
355 3 3
356 9 9
357 8 8
358 8 8
359 6 6
360 9 9
361 9 9
362 8 8
363 7 7
364 9 9
365 8 8
366 9 9
367 8 8
368 5 5
369 8 8
370 3 3
371 5 5
372 9 9
373 9 9
374 9 9
375 7 7
376 4 4
377 9 9
378 9 9
379 8 8
380 9 9
381 5 5
382 3 3
383 8 8
384 4 4
385 8 8
386 9 9
387 9 9
388 9 9
389 5 5
390 6 6
391 1 1
392 9 9
393 9 9
394 5 5
395 5 5
396 9 9
397 6 6
398 9 9
399 7 7
400 9 9
401 8 8
402 4 4
403 8 8
404 9 9
405 9 9
406 9 9
407 4 4
408 9 9
409 9 9
410 8 8
411 6 6
412 7 7
413 8 8
414 9 9
415 5 5
416 6 6
417 8 8
418 5 5
419 9 9
420 1 1
421 2 3
422 3 3
423 9 9
424 9 9
425 8 8
426 8 8
427 8 8
428 9 9
429 9 9
430 9 9
431 5 5
432 9 9
433 9 9
434 9 9
435 9 9
436 9 9
437 9 9
438 7 7
439 2 1
440 9 9
441 2 2
442 9 9
443 2 2
444 1 1
445 8 8
446 9 9
447 8 8
448 9 9
449 8 8
450 2 3
451 3 3
452 5 5
453 8 8
454 9 9
455 3 3
456 8 8
457 8 8
458 9 9
459 4 4
460 9 9
461 1 1
462 9 9
463 7 7
464 3 3
465 8 8
466 1 1
467 8 8
468 4 4
469 7 7
470 9 9
471 2 2
472 5 5
473 5 5
474 9 9
475 6 6
476 3 3
477 9 9
478 5 5
479 8 8
480 9 9
481 1 1
482 8 8
483 9 9
484 5 5
485 9 9
486 8 8
487 1 2
488 1 2
489 9 9
490 9 5
491 9 9
492 8 8
493 9 8
494 1 1
495 6 6
496 9 9
497 5 5
498 1 1
499 9 9
500 9 9
501 2 2
502 9 9
503 9 9
504 5 9
505 9 9
506 8 8
507 5 5
508 4 4
509 8 8
510 6 6
511 2 9
512 8 8
513 5 5
514 8 8
515 8 8
516 3 3
517 8 8
518 8 8
519 4 4
520 9 9
521 2 2
522 9 9
523 3 3
524 9 9
525 8 8
526 8 8
527 9 9
528 9 9
529 9 9
530 9 9
531 8 8
532 9 9
533 9 9
534 8 8
535 3 3
536 7 7
537 8 8
538 9 9
539 1 1
540 9 9
541 8 8
542 3 3
543 8 8
544 8 8
545 8 8
546 2 2
547 2 2
548 7 7
549 9 9
550 9 9
551 9 9
552 8 8
553 9 9
554 3 3
555 9 9
556 6 6
557 7 7
558 9 9
559 9 9
560 9 9
561 8 8
562 9 9
563 8 8
564 4 4
565 8 8
566 9 9
567 5 5
568 9 9
569 5 5
570 2 2
571 9 9
572 9 9
573 6 6
574 9 9
575 5 5
576 7 7
577 9 9
578 8 8
579 9 9
580 8 8
581 9 9
582 2 2
583 9 9
584 1 1
585 9 9
586 8 8
587 5 5
588 3 3
589 8 8
590 4 4
591 9 9
592 8 8
593 9 9
594 9 9
595 8 8
596 8 8
597 6 6
598 6 6
599 2 2
600 8 8
601 9 9
602 8 8
603 9 9
604 3 3
605 8 8
606 2 2
607 9 9
608 9 9
609 7 7
610 9 9
611 6 6
612 8 8
613 9 9
614 3 3
615 9 9
616 8 8
617 9 9
618 9 9
619 9 9
620 5 5
621 8 8
622 1 2
623 4 4
624 9 9
625 1 1
626 7 7
627 8 9
628 7 7
629 1 2
630 9 9
631 9 9
632 8 8
633 8 8
634 3 3
635 8 8
636 4 4
637 9 9
638 9 9
639 8 8
640 5 5
641 7 7
642 8 8
643 9 9
644 8 8
645 8 8
646 4 4
647 2 2
648 8 8
649 8 8
650 5 5
651 5 5
652 9 9
653 8 8
654 8 8
655 3 3
656 1 2
657 6 6
658 9 9
659 1 1
660 2 1
661 3 3
662 9 9
663 9 9
664 9 9
665 5 5
666 9 9
667 8 8
668 2 2
669 1 1
670 8 8
671 5 5
672 8 8
673 8 8
674 7 7
675 8 8
676 9 9
677 9 9
678 9 9
679 9 9
680 8 8
681 1 1
682 9 9
683 9 9
684 5 5
685 9 9
686 1 1
687 9 9
688 8 8
689 9 9
690 8 8
691 9 9
692 5 5
693 8 9
694 9 9
695 8 8
696 5 5
697 8 8
698 4 4
699 5 5
700 9 9
701 7 7
702 9 9
703 9 9
704 6 6
705 9 9
706 3 3
707 9 9
708 5 5
709 8 8
710 9 9
711 2 2
712 2 1
713 3 3
714 6 6
715 8 8
716 5 5
717 9 9
718 3 3
719 9 9
720 5 5
721 9 9
722 2 2
723 9 9
724 8 8
725 9 9
726 6 6
727 9 9
728 9 9
729 3 3
730 7 7
731 9 9
732 6 6
733 8 9
734 9 9
735 9 9
736 9 9
737 9 9
738 9 9
739 9 9
740 7 7
741 3 3
742 9 9
743 8 8
744 3 7
745 9 9
746 9 9
747 9 9
748 9 9
749 7 7
750 6 6
751 9 9
752 9 9
753 5 5
754 6 6
755 8 8
756 9 9
757 9 9
758 8 8
759 9 9
760 7 7
761 3 3
762 5 5
763 8 8
764 8 8
765 2 2
766 8 8
767 9 9
768 7 7
769 5 9
770 8 8
771 9 9
772 4 4
773 9 9
774 4 4
775 9 9
776 8 8
777 4 4
778 9 9
779 8 8
780 9 9
781 9 9
782 9 9
783 8 8
784 8 8
785 9 9
786 9 9
787 9 9
788 9 9
789 7 7
790 8 8
791 8 8
792 3 3
793 1 1
794 9 9
795 8 8
796 8 8
797 8 8
798 8 8
799 8 8
800 2 2
801 5 9
802 9 9
803 9 9
804 9 9
805 8 8
806 5 1
807 5 5
808 9 9
809 1 2
810 9 9
811 1 1
812 9 9
813 8 8
814 5 5
815 9 9
816 7 7
817 4 4
818 9 9
819 1 2
820 6 6
821 9 9
822 9 9
823 5 5
824 7 7
825 3 3
826 9 9
827 6 6
828 9 9
829 9 9
830 5 5
831 9 9
832 9 9
833 1 1
834 9 9
835 2 2
836 9 9
837 8 8
838 9 9
839 9 9
840 2 2
841 9 9
842 8 8
843 9 9
844 8 8
845 9 9
846 9 9
847 8 8
848 9 9
849 8 8
850 8 8
851 4 4
852 8 9
853 8 8
854 9 9
855 9 9
856 1 1
857 6 6
858 4 4
859 4 4
860 5 5
861 8 8
862 8 8
863 9 9
864 8 8
865 8 8
866 9 9
867 9 9
868 8 8
869 8 8
870 2 2
871 5 5
872 1 2
873 7 7
874 7 7
875 7 7
876 4 4
877 6 6
878 3 3
879 9 9
880 1 1
881 8 8
882 3 3
883 9 9
884 9 9
885 1 2
886 9 9
887 9 9
888 9 9
889 8 8
890 4 4
891 5 5
892 6 6
893 9 9
894 3 3
895 9 9
896 1 1
897 5 5
898 8 8
899 8 8
900 9 9
901 9 9
902 5 5
903 6 6
904 3 3
905 9 9
906 3 3
907 1 2
908 7 7
909 9 9
910 9 9
911 9 9
912 9 9
913 1 2
914 5 5
915 9 9
916 9 9
917 6 6
918 8 8
919 9 9
920 2 2
921 5 5
922 9 9
923 9 9
924 3 3
925 9 8
926 9 9
927 9 9
928 9 9
929 9 9
930 2 2
931 3 3
932 8 8
933 7 7
934 9 9
935 8 8
936 9 5
937 5 5
938 8 8
939 6 6
940 9 9
941 9 9
942 9 9
943 3 3
944 4 4
945 9 9
946 9 9
947 9 9
948 9 9
949 9 9
950 9 9
951 8 8
952 1 2
953 8 8
954 9 9
955 9 9
956 5 5
957 9 9
958 8 8
959 1 1
960 4 4
961 4 4
962 9 9
963 9 9
964 9 9
965 9 9
966 9 9
967 9 9
968 8 8
969 4 4
970 9 9
971 7 7
972 8 8
973 8 8
974 6 6
975 5 5
976 8 8
977 5 5
978 7 7
979 9 9
980 9 9
981 6 6
982 1 1
983 8 8
984 5 5
985 9 9
986 8 8
987 8 8
988 7 7
989 9 1
990 9 9
991 9 9
992 5 5
993 8 8
994 2 2
995 8 8
996 9 9
997 8 8
998 8 8
999 9 9
1000 8 9
1001 8 8
1002 9 9
1003 2 2
1004 8 8
1005 9 9
1006 9 9
1007 3 3
1008 5 5
1009 9 9
1010 9 9
1011 8 9
1012 9 9
1013 9 9
1014 9 9
1015 6 6
1016 8 8
1017 1 1
1018 3 1
1019 7 7
1020 7 7
1021 7 7
1022 9 9
1023 5 9
1024 9 9
1025 5 5
1026 9 9
1027 2 2
1028 9 9
1029 8 8
1030 8 8
1031 4 4
1032 3 3
1033 8 8
1034 8 8
1035 9 9
1036 9 9
1037 8 8
1038 9 9
1039 9 9
1040 8 9
1041 7 7
1042 3 3
1043 9 9
1044 9 9
1045 8 8
1046 5 5
1047 9 9
1048 9 9
1049 9 9
1050 1 1
1051 6 6
1052 1 1
1053 9 9
1054 8 8
1055 9 9
1056 9 9
1057 9 9
1058 5 5
1059 9 9
1060 9 9
1061 2 2
1062 5 5
1063 8 8
1064 7 7
1065 9 9
1066 6 6
1067 9 9
1068 8 8
1069 9 9
1070 7 7
1071 8 8
1072 9 9
1073 9 9
1074 9 9
1075 9 9
1076 7 7
1077 5 5
1078 8 8
1079 8 8
1080 4 4
1081 6 6
1082 5 5
1083 9 9
1084 2 2
1085 2 2
1086 6 6
1087 9 9
1088 9 9
1089 1 1
1090 8 9
1091 8 8
1092 5 5
1093 9 9
1094 1 1
1095 9 9
1096 8 8
1097 2 2
1098 2 2
1099 4 4
1100 6 6
1101 6 6
1102 9 9
1103 2 2
1104 8 8
1105 9 9
1106 5 5
1107 8 8
1108 8 8
1109 8 8
1110 4 4
1111 3 2
1112 9 9
1113 9 9
1114 8 8
1115 5 5
1116 7 7
1117 9 9
1118 5 5
1119 5 5
1120 5 5
1121 6 6
1122 6 6
1123 9 9
1124 5 5
1125 4 4
1126 2 1
1127 9 9
1128 9 9
1129 9 9
1130 8 8
1131 7 7
1132 2 2
1133 5 5
1134 9 9
1135 7 7
1136 2 2
1137 5 5
1138 9 9
1139 9 9
1140 5 5
1141 8 8
1142 9 9
1143 8 8
1144 5 5
1145 5 5
1146 9 9
1147 8 8
1148 8 8
1149 8 8
1150 5 5
1151 7 7
1152 2 2
1153 9 9
1154 1 1
1155 8 8
1156 1 1
1157 2 2
1158 9 9
1159 6 6
1160 8 8
1161 8 8
1162 9 9
1163 5 5
1164 9 9
1165 8 8
1166 5 5
1167 5 5
1168 8 8
1169 8 8
1170 5 5
1171 5 9
1172 8 6
1173 9 9
1174 5 5
1175 9 9
1176 9 9
1177 9 9
1178 9 9
1179 9 9
1180 8 8
1181 6 6
1182 9 9
1183 8 8
1184 6 6
1185 2 1
1186 9 9
1187 8 8
1188 3 3
1189 9 9
1190 8 8
1191 8 8
1192 9 9
1193 6 6
1194 9 9
1195 9 9
1196 2 2
1197 9 9
1198 1 1
1199 9 9
1200 7 7
1201 9 9
1202 9 9
1203 8 8
1204 9 9
1205 2 2
1206 8 8
1207 9 9
1208 7 7
1209 5 5
1210 5 5
1211 8 8
1212 9 9
1213 9 9
1214 2 2
1215 6 6
1216 1 1
1217 8 8
1218 9 9
1219 9 9
1220 9 9
1221 9 9
1222 9 9
1223 8 8
1224 8 8
1225 8 8
1226 3 3
1227 3 3
1228 3 3
1229 8 8
1230 9 9
1231 8 8
1232 9 9
1233 2 2
1234 5 5
1235 9 9
1236 4 4
1237 9 9
1238 9 9
1239 9 9
1240 9 9
1241 9 9
1242 7 7
1243 9 9
1244 6 6
1245 8 8
1246 4 4
1247 9 9
1248 3 3
1249 5 5
1250 9 9
1251 2 1
1252 6 6
1253 9 9
1254 2 2
1255 5 5
1256 9 9
1257 9 9
1258 9 9
1259 9 9
1260 9 9
1261 6 6
1262 9 9
1263 4 4
1264 3 3
1265 9 9
1266 8 8
1267 8 8
1268 5 5
1269 5 5
1270 9 9
1271 5 5
1272 9 9
1273 7 7
1274 3 3
1275 2 2
1276 6 6
1277 9 9
1278 8 8
1279 1 2
1280 8 7
1281 2 2
1282 3 3
1283 4 4
1284 8 8
1285 9 9
1286 8 8
1287 5 5
1288 9 9
1289 5 5
1290 6 6
1291 9 9
1292 8 9
1293 6 6
1294 9 9
1295 9 9
1296 4 4
1297 8 8
1298 7 7
1299 8 8
1300 8 8
1301 9 9
1302 9 9
1303 9 9
1304 8 8
1305 8 8
1306 5 5
1307 8 8
1308 7 7
1309 7 7
1310 4 4
1311 8 8
1312 9 9
1313 8 8
1314 8 8
1315 8 8
1316 9 9
1317 3 3
1318 9 9
1319 8 8
1320 6 6
1321 8 8
1322 9 9
1323 9 9
1324 4 4
1325 9 1
1326 9 9
1327 9 9
1328 9 9
1329 1 2
1330 9 9
1331 8 8
1332 9 9
1333 9 9
1334 9 9
1335 9 9
1336 9 9
1337 7 7
1338 5 5
1339 9 9
1340 3 3
1341 1 1
1342 9 9
1343 1 1
1344 1 1
1345 9 9
1346 9 9
1347 4 4
1348 9 9
1349 8 8
1350 3 3
1351 2 2
1352 8 8
1353 2 2
1354 4 4
1355 8 8
1356 5 5
1357 9 9
1358 9 9
1359 9 9
1360 9 9
1361 8 8
1362 6 6
1363 8 8
1364 8 8
1365 8 8
1366 9 9
1367 7 6
1368 8 8
1369 8 8
1370 9 9
1371 8 9
1372 9 9
1373 9 9
1374 8 8
1375 9 9
1376 4 4
1377 9 9
1378 8 8
1379 5 5
1380 7 6
1381 9 9
1382 5 5
1383 5 5
1384 5 5
1385 8 8
1386 8 8
1387 9 9
1388 9 9
1389 1 2
1390 9 9
1391 9 9
1392 3 8
1393 9 9
1394 9 9
1395 8 8
1396 8 8
1397 2 1
1398 8 8
1399 9 9
1400 5 5
1401 2 2
1402 5 5
1403 5 5
1404 2 1
1405 9 9
1406 1 1
1407 6 6
1408 7 7
1409 9 9
1410 5 5
1411 5 5
1412 7 7
1413 2 3
1414 9 9
1415 8 8
1416 9 9
1417 8 8
1418 9 9
1419 2 1
1420 9 9
1421 5 5
1422 9 9
1423 9 9
1424 9 9
1425 4 4
1426 2 1
1427 5 5
1428 9 9
1429 9 9
1430 9 9
1431 9 9
1432 9 9
1433 9 9
1434 9 9
1435 9 9
1436 8 8
1437 5 5
1438 4 4
1439 1 1
1440 2 2
1441 4 4
1442 5 5
1443 9 9
1444 8 8
1445 8 8
1446 7 7
1447 9 9
1448 2 2
1449 8 8
1450 8 8
1451 9 9
1452 2 1
1453 2 2
1454 7 6
1455 5 5
1456 1 1
1457 9 9
1458 8 9
1459 5 5
1460 1 5
1461 5 5
1462 9 9
1463 3 3
1464 9 9
1465 9 9
1466 8 8
1467 2 3
1468 2 2
1469 8 8
